;TABLEAU DES URLs;;;;;;;
numero;url;date;type d'url;type d'acteur;thème dans la controverse;position vis-à-vis du thème;poids dans la controverse;lu en details
1;https://www.johnlaurits.com/2017/fbi-cia-nsa-evidence-russia-election/;08/01/2017;blog;individuel;implication des Russes;infirmation;faible-moyen;oui
2;https://www.fbi.gov/news/pressrel/press-releases/joint-dhs-odni-fbi-statement-on-russian-malicious-cyber-activity;07/10/2016;communiqué officiel;gouvernemental;implication des Russes;affirmation;fort;oui
3;http://anonhq.com/julian-assange-u-s-intelligence-not-russia-leaked-hillary-emails-wikileaks/;15/12/2016;blog;exterieur;implication des Russes;infirmation;moyen;non
4;http://anonhq.com/fbi-says-foreign-hackers-penetrated-states-election-systems/;05/09/2016;blog;exterieur;implication des Russes;affirmation;moyen;oui
5;http://anonhq.com/assange-appears-fox-news-destroys-russia-hack-conspiracy-theory-watch/;06/01/2017;blog;exterieur;implication des Russes;infirmation;moyen;non
6;https://fr.wikipedia.org/wiki/Accusations_d%27ing%C3%A9rences_russes_dans_l%27%C3%A9lection_pr%C3%A9sidentielle_am%C3%A9ricaine_de_2016;13/05/2017;wiki;exterieur;implication des Russes;neutre;fort;oui
7;https://www.dni.gov/files/documents/ICA_2017_01.pdf;06/01/2017;rapport;gouvernemental;implication des Russes;affirmation;fort;non
8;https://www.generation-nt.com/hacker-election-electronique-piratage-actualite-1935425.html;08/11/2016;blog;exterieur;possibilité d'un hack;affirmation;faible;oui
9;https://resistanceauthentique.net/tag/le-hack-russe/;12/12/2016;blog;exterieur;implication des Russes;infirmation;faible;non
10;https://www.pluris.fr/publication/les-elections-americaines-peuvent-elles-etre-hackees_2-14-2389.php;01/10/2016;blog;exterieur;possibilité d'un hack;infirmation;faible;non
11;http://www.anguillesousroche.com/piratage/hacker-guccifer-declare-lelection-pourrait-etre-truquee-promet-surveiller-linterieur/;07/11/2016;blog;exterieur;possibilité d'un hack;affirmation;faible-moyen;non
12;http://www.comite-valmy.org/spip.php?article8114;15/01/2017;blog;exterieur;implication des Russes;infirmation;faible;non
13;https://framablog.org/2012/11/07/vote-electronique/;07/11/2012;blog;exterieur;possibilité d'un hack;affirmation;faible;non
14;http://www.nouvelordremondial.cc/2016/11/27/snowden-la-russie-a-truque-les-elections-americaines-en-faveur-de-trump/;26/11/2016;blog;exterieur;implication des Russes;affirmation;faible;non
15;https://fivethirtyeight.com/features/demographics-not-hacking-explain-the-election-results/;23/11/2016;blog;exterieur;possibilité d'un hack;infirmation;faible;non
16;http://lesmoutonsrebelles.com/le-hacker-guccifer-2-0-declare-que-lelection-pourrait-etre-truquee-et-promet-de-surveiller-de-linterieur/;07/11/2016;blog;exterieur;possibilité d'un hack;affirmation;faible;non
17;https://www.facebook.com/groups/262566847109221/?fref=ts;Groupe Facebook, demande d'adhesion en cours…..;;;;;;
18;https://www.threatconnect.com/blog/guccifer-2-all-roads-lead-russia/;07/26/2016;blog;associatif;Le hacker Guccifer2.0 a-t-il participé au hack du DNC ?;neutre;moyen-fort;oui
19;https://guccifer2.wordpress.com/2016/06/21/hillary-clinton/comment-page-4/#comments;21/06/2016;blog;individuel;Le hacker Guccifer2.0 a-t-il participé au hack du DNC ?;affirmation;moyen;oui
20;https://fr.wikipedia.org/wiki/Accusations_d%27ing%C3%A9rences_russes_dans_l%27%C3%A9lection_pr%C3%A9sidentielle_am%C3%A9ricaine_de_2016;13/05/2017;wikipedia;exterieur;tout;;moyen;oui
21;http://www.yjil.yale.edu/hacking-the-election/;28/11/2016;blog;individuel;comment les US peuvent réagir à 'agression des russes ?;;moyen;oui
22;http://www.slate.com/articles/technology/future_tense/2016/12/how_russia_hacked_american_voters.html;13/12/2016;presse;individuel;implication des Russes;affirmation;moyen;oui
23;http://www.rubenmajor.com/2017/04/13/florida-general-election-problems-indicate-potential-vote-count-hacking/;13/04/2017;blog;indiciduel;possibilité d'un hack;affirmation;fort;oui
